01-29 17:53:17.597 I/PackageUpdatedTask( 2785): added, appInfo : AppInfo(id=572 type=APP hidden=0 container=all_apps screen=-1 rank=0 rankOfList=-1 user=UserHandle{0} title=ASC componentName=ComponentInfo{com.asc.markets/com.asc.markets.MainActivity} screenType=0)
01-29 17:55:01.723 D/ASC     (22105): Rendering tab=MARKET_OVERVIEW lucide=lucide_line_chart active=true res=2131165346
01-29 17:55:01.733 D/ASC     (22105): Rendering tab=TECHNICAL_VITALS lucide=lucide_activity active=false res=2131165342
01-29 17:55:01.743 D/ASC     (22105): Rendering tab=STRATEGY_SIGNALS lucide=lucide_list_filter active=false res=2131165347
01-29 17:56:36.916 D/ASC     (22105): DashboardScreen composed: activeTab=TECHNICAL_VITALS
01-29 17:56:36.924 D/ASC     (22105): Rendering tab=MARKET_OVERVIEW lucide=lucide_line_chart active=false res=2131165346
01-29 17:56:36.927 D/ASC     (22105): Rendering tab=TECHNICAL_VITALS lucide=lucide_activity active=true res=2131165342
01-29 17:56:36.930 D/ASC     (22105): Rendering tab=STRATEGY_SIGNALS lucide=lucide_list_filter active=false res=2131165347
01-29 17:56:37.714 D/ASC     (22105): DashboardScreen composed: activeTab=STRATEGY_SIGNALS
01-29 17:56:37.723 D/ASC     (22105): Rendering tab=MARKET_OVERVIEW lucide=lucide_line_chart active=false res=2131165346
01-29 17:56:37.724 D/ASC     (22105): Rendering tab=TECHNICAL_VITALS lucide=lucide_activity active=false res=2131165342
01-29 17:56:37.726 D/ASC     (22105): Rendering tab=STRATEGY_SIGNALS lucide=lucide_list_filter active=true res=2131165347
01-29 17:56:38.287 D/ASC     (22105): Rendering tab=ANALYTICAL_QUALITY lucide=lucide_pie_chart active=false res=2131165348
01-29 17:56:38.325 D/ASC     (22105): Rendering tab=EXECUTION_LEDGER lucide=lucide_arrow_left_right active=false res=2131165343
01-29 17:56:38.409 D/ASC     (22105): Rendering tab=MARKET_PSYCHOLOGY lucide=lucide_binary active=false res=2131165344
01-29 17:56:38.459 D/ASC     (22105): Rendering tab=METHODOLOGY lucide=lucide_book_open active=false res=2131165345
